borough,target_date,lead_days,issue_date,tmax_f_fcst,tmin_f_fcst,overnight_low_f_fcst,rh_at_peak_pct_fcst,hi_max_f_fcst,threshold_band_fcst,hazard_level_fcst,hazard_label_fcst,eval_tmax_error_f,eval_hi_error_f,eval_level_error
Manhattan,2026-07-23,3,2026-07-20,97.4,80.1,81.1,43.5,106.0,>=105,4,extreme,-0.6,-1.3,0
Manhattan,2026-07-24,3,2026-07-21,92.9,80.3,74.3,46.9,98.6,95-99,2,moderate,-4.0,-7.2,-2
Manhattan,2026-07-25,3,2026-07-22,89.4,70.0,61.0,51.1,94.0,<95,1,minor,-1.5,-1.7,-2
Manhattan,2026-07-26,3,2026-07-23,90.2,69.4,67.4,35.3,89.4,<95,0,little_to_no_risk,8.2,8.1,0
Manhattan,2026-07-20,4,2026-07-16,94.2,71.8,73.8,42.5,98.9,95-99,2,moderate,4.3,7.2,1
Manhattan,2026-07-21,4,2026-07-17,93.0,71.5,73.5,39.3,95.1,95-99,2,moderate,0.0,-1.8,0
Manhattan,2026-07-22,4,2026-07-18,94.6,76.6,79.6,46.3,101.8,100-104,3,major,-0.4,0.7,0
Manhattan,2026-07-23,4,2026-07-19,91.8,78.9,79.9,45.4,95.8,95-99,3,major,-6.2,-11.5,-1
Manhattan,2026-07-24,4,2026-07-20,94.4,77.8,71.8,48.3,102.7,100-104,3,major,-2.5,-3.2,-1
Manhattan,2026-07-25,4,2026-07-21,91.7,67.7,58.7,48.0,97.0,95-99,3,major,0.8,1.2,0
Manhattan,2026-07-26,4,2026-07-22,89.0,69.5,67.5,36.1,88.1,<95,0,little_to_no_risk,7.0,6.8,0
Manhattan,2026-07-20,5,2026-07-15,91.8,68.6,70.6,41.0,93.8,<95,1,minor,1.8,2.2,0
Manhattan,2026-07-21,5,2026-07-16,94.3,75.3,77.3,39.0,97.2,95-99,2,moderate,1.3,0.3,0
Manhattan,2026-07-22,5,2026-07-17,90.0,77.9,80.9,47.2,93.3,<95,1,minor,-5.0,-7.7,-2
Manhattan,2026-07-23,5,2026-07-18,92.6,77.9,78.9,47.5,98.3,95-99,2,moderate,-5.4,-9.0,-2
Manhattan,2026-07-24,5,2026-07-19,91.0,76.3,70.4,48.2,95.6,95-99,2,moderate,-5.9,-10.3,-2
Manhattan,2026-07-25,5,2026-07-20,91.7,69.9,60.9,52.0,98.9,95-99,3,major,0.7,3.1,0
Manhattan,2026-07-26,5,2026-07-21,90.9,65.5,63.4,37.2,91.0,<95,1,minor,8.9,9.7,1
Manhattan,2026-07-20,6,2026-07-14,83.7,76.2,78.2,40.7,83.1,<95,0,little_to_no_risk,-6.2,-8.5,-1
Manhattan,2026-07-21,6,2026-07-15,93.2,73.8,75.8,40.1,95.8,95-99,2,moderate,0.2,-1.1,0
Manhattan,2026-07-22,6,2026-07-16,91.1,79.0,82.0,50.1,96.8,95-99,3,major,-3.8,-4.2,0
Manhattan,2026-07-23,6,2026-07-17,84.7,78.9,79.9,49.7,86.0,<95,0,little_to_no_risk,-13.2,-21.3,-4
Manhattan,2026-07-24,6,2026-07-18,92.9,74.8,68.8,52.9,102.3,100-104,3,major,-4.0,-3.6,-1
Manhattan,2026-07-25,6,2026-07-19,92.6,70.9,62.0,49.9,99.8,95-99,2,moderate,1.7,4.0,-1
Manhattan,2026-07-26,6,2026-07-20,81.1,64.9,62.8,35.3,80.3,<95,0,little_to_no_risk,-0.8,-1.1,0
Manhattan,2026-07-20,7,2026-07-13,76.8,72.3,74.3,44.5,76.3,<95,0,little_to_no_risk,-13.1,-15.4,-1
Manhattan,2026-07-21,7,2026-07-14,92.0,77.9,79.9,40.5,94.0,<95,1,minor,-1.0,-2.9,-1
Manhattan,2026-07-22,7,2026-07-15,93.1,75.7,78.7,49.7,100.7,100-104,3,major,-1.9,-0.4,0
Manhattan,2026-07-23,7,2026-07-16,93.3,78.8,79.8,44.5,98.1,95-99,2,moderate,-4.7,-9.2,-2
Manhattan,2026-07-24,7,2026-07-17,93.9,76.5,70.6,44.0,99.1,95-99,3,major,-3.0,-6.8,-1
Manhattan,2026-07-25,7,2026-07-18,91.3,66.7,57.7,50.9,97.5,95-99,3,major,0.3,1.7,0
Manhattan,2026-07-26,7,2026-07-19,78.9,65.6,63.6,31.4,78.0,<95,0,little_to_no_risk,-3.0,-3.4,0
Bronx,2026-07-20,1,2026-07-19,92.6,74.4,76.4,43.1,96.3,95-99,2,moderate,3.2,5.1,1
Bronx,2026-07-21,1,2026-07-20,96.2,76.6,78.6,43.8,103.7,100-104,3,major,3.8,7.4,1
Bronx,2026-07-22,1,2026-07-21,95.6,76.6,79.6,44.3,102.7,100-104,3,major,1.2,2.3,0
Bronx,2026-07-23,1,2026-07-22,98.4,76.9,77.9,42.0,107.2,>=105,4,extreme,1.0,0.5,0
Bronx,2026-07-24,1,2026-07-23,99.6,81.9,75.9,48.6,115.7,>=105,4,extreme,3.2,10.5,0
Bronx,2026-07-25,1,2026-07-24,92.5,74.0,65.0,52.2,100.7,100-104,3,major,2.0,5.6,0
Bronx,2026-07-26,1,2026-07-25,82.7,71.0,69.0,37.5,81.8,<95,0,little_to_no_risk,1.3,0.7,0
Bronx,2026-07-20,2,2026-07-18,91.2,73.3,75.3,43.9,94.1,<95,1,minor,1.8,3.0,0
Bronx,2026-07-21,2,2026-07-19,95.6,75.1,77.1,43.7,102.3,100-104,3,major,3.1,6.0,1
Bronx,2026-07-22,2,2026-07-20,91.2,79.6,82.6,45.4,94.7,<95,2,moderate,-3.3,-5.7,-1
Bronx,2026-07-23,2,2026-07-21,98.8,76.6,77.6,42.8,108.7,>=105,4,extreme,1.3,2.0,0
Bronx,2026-07-24,2,2026-07-22,93.3,81.0,75.0,49.7,101.1,100-104,3,major,-3.1,-4.1,-1
Bronx,2026-07-25,2,2026-07-23,86.0,67.0,58.0,50.5,88.0,<95,0,little_to_no_risk,-4.5,-7.2,-3
Bronx,2026-07-26,2,2026-07-24,87.7,68.4,66.3,39.8,87.4,<95,0,little_to_no_risk,6.2,6.4,0
Bronx,2026-07-20,3,2026-07-17,93.5,74.6,76.6,41.5,97.1,95-99,2,moderate,4.1,5.9,1
Bronx,2026-07-21,3,2026-07-18,93.4,72.1,74.1,41.0,96.7,95-99,2,moderate,1.0,0.4,0
Bronx,2026-07-22,3,2026-07-19,91.5,74.4,77.4,45.3,95.1,95-99,3,major,-3.0,-5.3,0
Bronx,2026-07-23,3,2026-07-20,97.1,79.2,80.2,44.1,106.0,>=105,4,extreme,-0.3,-0.7,0
Bronx,2026-07-24,3,2026-07-21,92.8,79.9,73.9,47.6,98.9,95-99,3,major,-3.6,-6.3,-1
Bronx,2026-07-25,3,2026-07-22,88.8,70.6,61.6,51.9,93.2,<95,1,minor,-1.6,-2.0,-2
Bronx,2026-07-26,3,2026-07-23,89.3,69.5,67.5,35.9,88.4,<95,0,little_to_no_risk,7.8,7.4,0
Bronx,2026-07-20,4,2026-07-16,93.5,71.6,73.6,43.2,97.9,95-99,2,moderate,4.0,6.7,1
Bronx,2026-07-21,4,2026-07-17,91.7,71.8,73.8,40.0,93.2,<95,1,minor,-0.8,-3.1,-1
Bronx,2026-07-22,4,2026-07-18,92.9,76.4,79.4,47.0,98.7,95-99,2,moderate,-1.6,-1.8,-1
Bronx,2026-07-23,4,2026-07-19,91.7,79.0,80.0,46.1,96.0,95-99,2,moderate,-5.7,-10.7,-2
Bronx,2026-07-24,4,2026-07-20,93.5,77.2,71.2,49.0,101.1,100-104,3,major,-2.9,-4.1,-1
Bronx,2026-07-25,4,2026-07-21,91.2,67.8,58.8,48.8,96.2,95-99,3,major,0.8,1.1,0
Bronx,2026-07-26,4,2026-07-22,88.7,68.3,66.3,36.8,88.0,<95,0,little_to_no_risk,7.3,7.0,0
Bronx,2026-07-20,5,2026-07-15,90.8,68.7,70.7,41.6,92.5,<95,1,minor,1.4,1.4,0
Bronx,2026-07-21,5,2026-07-16,92.9,74.4,76.4,39.7,95.2,95-99,2,moderate,0.5,-1.1,0
Bronx,2026-07-22,5,2026-07-17,89.6,76.8,79.8,47.9,92.9,<95,1,minor,-4.9,-7.6,-2
Bronx,2026-07-23,5,2026-07-18,92.2,77.7,78.7,48.2,98.0,95-99,2,moderate,-5.2,-8.7,-2
Bronx,2026-07-24,5,2026-07-19,90.7,75.8,69.8,48.8,95.3,95-99,2,moderate,-5.7,-9.9,-2
Bronx,2026-07-25,5,2026-07-20,90.8,69.7,60.7,52.8,97.6,95-99,3,major,0.4,2.4,0
Bronx,2026-07-26,5,2026-07-21,89.7,65.5,63.5,37.9,89.5,<95,0,little_to_no_risk,8.2,8.5,0
Bronx,2026-07-20,6,2026-07-14,82.2,76.5,78.5,41.4,81.8,<95,0,little_to_no_risk,-7.3,-9.4,-1
Bronx,2026-07-21,6,2026-07-15,92.3,72.5,74.5,40.7,94.5,<95,1,minor,-0.2,-1.8,-1
Bronx,2026-07-22,6,2026-07-16,91.3,78.1,81.1,50.8,97.5,95-99,3,major,-3.1,-2.9,0
Bronx,2026-07-23,6,2026-07-17,83.4,79.1,80.1,50.4,84.4,<95,0,little_to_no_risk,-14.1,-22.3,-4
Bronx,2026-07-24,6,2026-07-18,92.3,73.3,67.3,53.6,101.2,100-104,3,major,-4.1,-4.0,-1
Bronx,2026-07-25,6,2026-07-19,92.1,69.7,60.7,50.7,99.1,95-99,2,moderate,1.7,3.9,-1
Bronx,2026-07-26,6,2026-07-20,79.7,64.5,62.5,35.9,79.1,<95,0,little_to_no_risk,-1.7,-1.9,0
Bronx,2026-07-20,7,2026-07-13,75.1,71.3,73.3,45.1,74.4,<95,0,little_to_no_risk,-14.4,-16.7,-1
Bronx,2026-07-21,7,2026-07-14,91.2,77.3,79.3,41.2,92.9,<95,1,minor,-1.3,-3.4,-1
Bronx,2026-07-22,7,2026-07-15,91.7,74.6,77.6,50.4,98.2,95-99,2,moderate,-2.7,-2.3,-1
Bronx,2026-07-23,7,2026-07-16,91.3,79.0,80.0,45.1,94.8,<95,1,minor,-6.1,-11.9,-3
Bronx,2026-07-24,7,2026-07-17,92.3,75.9,70.0,44.7,96.4,95-99,2,moderate,-4.1,-8.8,-2
Bronx,2026-07-25,7,2026-07-18,91.2,66.1,57.2,51.6,97.6,95-99,2,moderate,0.7,2.5,-1
Bronx,2026-07-26,7,2026-07-19,78.7,65.5,63.5,32.0,77.7,<95,0,little_to_no_risk,-2.8,-3.3,0
Brooklyn,2026-07-20,1,2026-07-19,92.6,74.0,76.0,43.1,96.1,95-99,2,moderate,3.1,5.0,1
Brooklyn,2026-07-21,1,2026-07-20,96.5,75.9,78.0,43.8,104.2,100-104,3,major,4.0,7.9,1
Brooklyn,2026-07-22,1,2026-07-21,95.9,76.6,79.6,44.3,103.4,100-104,3,major,1.5,3.0,0
Brooklyn,2026-07-23,1,2026-07-22,98.2,76.5,77.5,42.0,106.8,>=105,4,extreme,0.8,0.1,0
Brooklyn,2026-07-24,1,2026-07-23,99.3,81.9,75.9,48.6,114.9,>=105,4,extreme,2.9,9.6,0
Brooklyn,2026-07-25,1,2026-07-24,92.3,73.1,64.1,52.2,100.5,100-104,3,major,1.9,5.3,0
Brooklyn,2026-07-26,1,2026-07-25,82.9,70.6,68.6,37.5,81.9,<95,0,little_to_no_risk,1.4,0.9,0
Brooklyn,2026-07-20,2,2026-07-18,91.5,74.2,76.2,43.9,94.6,<95,1,minor,2.1,3.5,0
Brooklyn,2026-07-21,2,2026-07-19,96.3,74.8,76.8,43.7,103.9,100-104,3,major,3.9,7.6,1
Brooklyn,2026-07-22,2,2026-07-20,90.8,79.4,82.4,45.4,94.1,<95,2,moderate,-3.6,-6.4,-1
Brooklyn,2026-07-23,2,2026-07-21,99.4,76.4,77.4,42.8,110.2,>=105,4,extreme,2.0,3.5,0
Brooklyn,2026-07-24,2,2026-07-22,92.7,81.4,75.4,49.7,99.8,95-99,2,moderate,-3.7,-5.4,-2
Brooklyn,2026-07-25,2,2026-07-23,85.7,66.5,57.5,50.5,87.5,<95,0,little_to_no_risk,-4.7,-7.6,-3
Brooklyn,2026-07-26,2,2026-07-24,87.8,68.2,66.2,39.8,87.6,<95,0,little_to_no_risk,6.3,6.5,0
Brooklyn,2026-07-20,3,2026-07-17,93.4,74.6,76.6,41.5,96.9,95-99,2,moderate,4.0,5.7,1
Brooklyn,2026-07-21,3,2026-07-18,91.8,72.1,74.1,41.0,93.9,<95,1,minor,-0.6,-2.4,-1
Brooklyn,2026-07-22,3,2026-07-19,91.9,74.5,77.5,45.3,96.0,95-99,2,moderate,-2.5,-4.5,-1
Brooklyn,2026-07-23,3,2026-07-20,95.8,79.1,80.1,44.1,102.9,100-104,3,major,-1.7,-3.7,-1
Brooklyn,2026-07-24,3,2026-07-21,93.1,80.2,74.2,47.6,99.3,95-99,3,major,-3.4,-5.9,-1
Brooklyn,2026-07-25,3,2026-07-22,88.8,70.7,61.7,51.9,93.1,<95,1,minor,-1.7,-2.1,-2
Brooklyn,2026-07-26,3,2026-07-23,89.5,69.5,67.5,35.9,88.7,<95,0,little_to_no_risk,8.0,7.7,0
Brooklyn,2026-07-20,4,2026-07-16,93.8,71.9,73.9,43.2,98.4,95-99,2,moderate,4.3,7.2,1
Brooklyn,2026-07-21,4,2026-07-17,91.6,70.9,72.9,40.0,93.2,<95,1,minor,-0.8,-3.1,-1
Brooklyn,2026-07-22,4,2026-07-18,92.9,76.0,79.0,47.0,98.7,95-99,2,moderate,-1.6,-1.7,-1
Brooklyn,2026-07-23,4,2026-07-19,91.9,78.0,79.0,46.1,96.3,95-99,2,moderate,-5.6,-10.4,-2
Brooklyn,2026-07-24,4,2026-07-20,94.4,76.8,70.8,49.0,103.0,100-104,3,major,-2.1,-2.2,-1
Brooklyn,2026-07-25,4,2026-07-21,91.7,67.0,58.1,48.8,97.3,95-99,3,major,1.3,2.2,0
Brooklyn,2026-07-26,4,2026-07-22,89.4,68.2,66.2,36.8,88.8,<95,0,little_to_no_risk,7.9,7.8,0
Brooklyn,2026-07-20,5,2026-07-15,91.5,67.8,69.8,41.6,93.5,<95,1,minor,2.0,2.4,0
Brooklyn,2026-07-21,5,2026-07-16,92.8,75.0,77.0,39.7,95.0,<95,1,minor,0.3,-1.3,-1
Brooklyn,2026-07-22,5,2026-07-17,89.5,77.0,80.0,47.9,92.7,<95,1,minor,-5.0,-7.7,-2
Brooklyn,2026-07-23,5,2026-07-18,91.6,78.4,79.4,48.2,96.7,95-99,2,moderate,-5.9,-10.0,-2
Brooklyn,2026-07-24,5,2026-07-19,90.7,76.7,70.7,48.8,95.3,95-99,2,moderate,-5.8,-10.0,-2
Brooklyn,2026-07-25,5,2026-07-20,92.3,69.8,60.8,52.8,100.7,100-104,3,major,1.9,5.5,0
Brooklyn,2026-07-26,5,2026-07-21,90.6,66.0,64.0,37.9,90.9,<95,1,minor,9.2,9.8,1
Brooklyn,2026-07-20,6,2026-07-14,81.8,75.7,77.7,41.4,81.5,<95,0,little_to_no_risk,-7.6,-9.7,-1
Brooklyn,2026-07-21,6,2026-07-15,92.9,73.2,75.2,40.7,95.5,95-99,2,moderate,0.4,-0.8,0
Brooklyn,2026-07-22,6,2026-07-16,89.6,78.9,81.9,50.8,94.2,<95,2,moderate,-4.8,-6.2,-1
Brooklyn,2026-07-23,6,2026-07-17,84.0,79.0,80.0,50.4,85.1,<95,0,little_to_no_risk,-13.5,-21.5,-4
Brooklyn,2026-07-24,6,2026-07-18,92.3,74.5,68.5,53.6,101.2,100-104,3,major,-4.1,-4.0,-1
Brooklyn,2026-07-25,6,2026-07-19,92.1,69.5,60.5,50.7,99.0,95-99,2,moderate,1.6,3.8,-1
Brooklyn,2026-07-26,6,2026-07-20,81.1,64.1,62.1,35.9,80.4,<95,0,little_to_no_risk,-0.3,-0.6,0
Brooklyn,2026-07-20,7,2026-07-13,75.5,72.0,74.0,45.1,74.8,<95,0,little_to_no_risk,-14.0,-16.3,-1
Brooklyn,2026-07-21,7,2026-07-14,91.7,76.8,78.8,41.2,93.8,<95,1,minor,-0.8,-2.5,-1
Brooklyn,2026-07-22,7,2026-07-15,91.3,75.0,77.9,50.4,97.3,95-99,2,moderate,-3.1,-3.1,-1
Brooklyn,2026-07-23,7,2026-07-16,91.7,78.6,79.6,45.1,95.6,95-99,2,moderate,-5.7,-11.1,-2
Brooklyn,2026-07-24,7,2026-07-17,94.0,76.5,70.5,44.7,99.6,95-99,3,major,-2.5,-5.6,-1
Brooklyn,2026-07-25,7,2026-07-18,91.0,66.1,57.1,51.6,97.3,95-99,3,major,0.6,2.1,0
Brooklyn,2026-07-26,7,2026-07-19,77.3,64.5,62.5,32.0,76.2,<95,0,little_to_no_risk,-4.1,-4.8,0
Queens,2026-07-20,1,2026-07-19,92.2,74.3,76.3,43.8,95.8,95-99,2,moderate,3.2,5.2,1
Queens,2026-07-21,1,2026-07-20,95.8,75.2,77.2,44.4,103.3,100-104,3,major,3.9,7.6,1
Queens,2026-07-22,1,2026-07-21,96.0,76.3,79.3,45.0,104.0,100-104,3,major,2.0,4.1,1
Queens,2026-07-23,1,2026-07-22,97.9,76.9,77.9,42.7,106.6,>=105,4,extreme,1.0,0.6,0
Queens,2026-07-24,1,2026-07-23,99.0,82.0,76.0,49.3,114.7,>=105,4,extreme,3.1,10.2,1
Queens,2026-07-25,1,2026-07-24,92.2,73.0,64.0,53.0,100.6,100-104,3,major,2.3,6.0,2
Queens,2026-07-26,1,2026-07-25,83.6,69.8,67.8,38.2,82.7,<95,0,little_to_no_risk,2.7,2.0,0
Queens,2026-07-20,2,2026-07-18,90.7,72.8,74.8,44.5,93.5,<95,1,minor,1.8,2.9,0
Queens,2026-07-21,2,2026-07-19,94.4,74.2,76.2,44.4,100.2,100-104,3,major,2.4,4.5,1
Queens,2026-07-22,2,2026-07-20,90.9,79.2,82.2,46.1,94.6,<95,2,moderate,-3.0,-5.3,0
Queens,2026-07-23,2,2026-07-21,98.0,75.9,77.0,43.5,107.4,>=105,4,extreme,1.1,1.4,0
Queens,2026-07-24,2,2026-07-22,92.2,81.4,75.4,50.4,99.1,95-99,2,moderate,-3.7,-5.5,-1
Queens,2026-07-25,2,2026-07-23,85.7,66.5,57.5,51.3,87.8,<95,0,little_to_no_risk,-4.2,-6.8,-1
Queens,2026-07-26,2,2026-07-24,87.4,67.6,65.5,40.4,87.3,<95,0,little_to_no_risk,6.5,6.6,0
Queens,2026-07-20,3,2026-07-17,92.5,73.4,75.4,42.2,95.5,95-99,2,moderate,3.5,4.9,1
Queens,2026-07-21,3,2026-07-18,90.7,71.4,73.5,41.7,92.4,<95,1,minor,-1.2,-3.3,-1
Queens,2026-07-22,3,2026-07-19,90.5,74.1,77.1,45.9,93.8,<95,1,minor,-3.4,-6.1,-1
Queens,2026-07-23,3,2026-07-20,96.5,78.7,79.7,44.8,104.9,100-104,3,major,-0.5,-1.1,-1
Queens,2026-07-24,3,2026-07-21,92.9,79.7,73.8,48.3,99.5,95-99,2,moderate,-3.0,-5.1,-1
Queens,2026-07-25,3,2026-07-22,87.6,70.1,61.1,52.7,91.3,<95,1,minor,-2.3,-3.3,0
Queens,2026-07-26,3,2026-07-23,89.1,69.1,67.1,36.6,88.4,<95,0,little_to_no_risk,8.2,7.7,0
Queens,2026-07-20,4,2026-07-16,92.1,71.3,73.3,43.9,95.6,95-99,2,moderate,3.1,5.0,1
Queens,2026-07-21,4,2026-07-17,91.3,70.2,72.2,40.7,93.0,<95,1,minor,-0.6,-2.7,-1
Queens,2026-07-22,4,2026-07-18,92.4,75.0,78.0,47.7,98.1,95-99,2,moderate,-1.6,-1.7,0
Queens,2026-07-23,4,2026-07-19,90.7,78.3,79.3,46.8,94.5,<95,1,minor,-6.2,-11.6,-3
Queens,2026-07-24,4,2026-07-20,93.5,76.2,70.2,49.7,101.6,100-104,3,major,-2.4,-3.0,0
Queens,2026-07-25,4,2026-07-21,90.5,66.3,57.3,49.6,95.3,95-99,2,moderate,0.6,0.7,1
Queens,2026-07-26,4,2026-07-22,88.1,68.5,66.5,37.5,87.4,<95,0,little_to_no_risk,7.2,6.7,0
Queens,2026-07-20,5,2026-07-15,90.7,67.2,69.2,42.3,92.6,<95,1,minor,1.7,2.0,0
Queens,2026-07-21,5,2026-07-16,93.2,74.2,76.2,40.4,96.0,95-99,2,moderate,1.3,0.3,0
Queens,2026-07-22,5,2026-07-17,89.6,76.4,79.4,48.5,93.2,<95,1,minor,-4.4,-6.7,-1
Queens,2026-07-23,5,2026-07-18,91.1,77.8,78.8,48.9,96.1,95-99,2,moderate,-5.9,-9.9,-2
Queens,2026-07-24,5,2026-07-19,90.4,75.6,69.6,49.5,95.0,<95,1,minor,-5.6,-9.6,-2
Queens,2026-07-25,5,2026-07-20,90.8,69.7,60.7,53.6,98.0,95-99,2,moderate,0.9,3.4,1
Queens,2026-07-26,5,2026-07-21,89.9,64.5,62.5,38.5,90.1,<95,1,minor,8.9,9.4,1
Queens,2026-07-20,6,2026-07-14,81.5,75.0,77.0,42.1,81.3,<95,0,little_to_no_risk,-7.4,-9.3,-1
Queens,2026-07-21,6,2026-07-15,92.3,72.9,74.9,41.4,94.8,<95,1,minor,0.3,-0.9,-1
Queens,2026-07-22,6,2026-07-16,90.5,78.6,81.6,51.5,96.2,95-99,3,major,-3.5,-3.6,1
Queens,2026-07-23,6,2026-07-17,84.8,78.3,79.3,51.0,86.4,<95,0,little_to_no_risk,-12.1,-19.6,-4
Queens,2026-07-24,6,2026-07-18,91.6,74.5,68.5,54.3,100.1,100-104,3,major,-4.3,-4.5,0
Queens,2026-07-25,6,2026-07-19,92.5,69.5,60.5,51.5,100.3,100-104,3,major,2.5,5.7,2
Queens,2026-07-26,6,2026-07-20,79.8,64.4,62.4,36.6,79.2,<95,0,little_to_no_risk,-1.1,-1.5,0
Queens,2026-07-20,7,2026-07-13,74.8,71.6,73.6,45.8,74.1,<95,0,little_to_no_risk,-14.2,-16.5,-1
Queens,2026-07-21,7,2026-07-14,90.9,76.6,78.6,41.9,92.8,<95,1,minor,-1.0,-2.9,-1
Queens,2026-07-22,7,2026-07-15,91.2,75.0,78.0,51.1,97.4,95-99,2,moderate,-2.8,-2.4,0
Queens,2026-07-23,7,2026-07-16,91.6,77.8,78.8,45.8,95.7,95-99,2,moderate,-5.3,-10.4,-2
Queens,2026-07-24,7,2026-07-17,92.2,75.3,69.4,45.4,96.6,95-99,3,major,-3.7,-8.0,0
Queens,2026-07-25,7,2026-07-18,91.1,65.6,56.6,52.4,97.9,95-99,3,major,1.1,3.3,2
Queens,2026-07-26,7,2026-07-19,78.4,64.0,62.0,32.7,77.4,<95,0,little_to_no_risk,-2.6,-3.3,0
Staten Island,2026-07-20,1,2026-07-19,91.1,72.7,74.7,46.0,94.8,<95,1,minor,3.6,5.8,1
Staten Island,2026-07-21,1,2026-07-20,93.9,74.5,76.5,46.6,100.5,100-104,3,major,3.4,6.5,2
Staten Island,2026-07-22,1,2026-07-21,93.7,74.7,77.7,47.1,100.5,100-104,3,major,1.2,2.4,1
Staten Island,2026-07-23,1,2026-07-22,95.7,74.9,75.9,44.8,103.2,100-104,3,major,0.2,-1.0,0
Staten Island,2026-07-24,1,2026-07-23,97.9,79.9,73.9,51.4,113.6,>=105,4,extreme,3.4,10.9,1
Staten Island,2026-07-25,1,2026-07-24,91.1,71.8,62.8,55.4,99.7,95-99,3,major,2.7,6.8,2
Staten Island,2026-07-26,1,2026-07-25,81.2,69.1,67.0,40.2,80.9,<95,0,little_to_no_risk,1.8,1.8,0
Staten Island,2026-07-20,2,2026-07-18,88.6,72.2,74.2,46.7,90.9,<95,1,minor,1.2,1.9,1
Staten Island,2026-07-21,2,2026-07-19,94.1,73.4,75.4,46.5,100.8,100-104,3,major,3.6,6.9,2
Staten Island,2026-07-22,2,2026-07-20,90.3,77.2,80.2,48.2,94.3,<95,1,minor,-2.2,-3.7,-1
Staten Island,2026-07-23,2,2026-07-21,96.7,74.8,75.8,45.6,106.0,>=105,4,extreme,1.2,1.8,1
Staten Island,2026-07-24,2,2026-07-22,91.5,79.5,73.6,52.5,98.8,95-99,2,moderate,-2.9,-3.9,-1
Staten Island,2026-07-25,2,2026-07-23,84.5,65.6,56.6,53.8,86.6,<95,0,little_to_no_risk,-3.9,-6.2,-1
Staten Island,2026-07-26,2,2026-07-24,86.2,67.4,65.4,42.5,86.2,<95,0,little_to_no_risk,6.8,7.1,0
Staten Island,2026-07-20,3,2026-07-17,91.4,72.1,74.1,44.3,94.6,<95,1,minor,4.0,5.6,1
Staten Island,2026-07-21,3,2026-07-18,90.5,70.8,72.8,43.9,92.8,<95,1,minor,0.0,-1.2,0
Staten Island,2026-07-22,3,2026-07-19,88.9,72.6,75.6,48.1,91.8,<95,1,minor,-3.6,-6.2,-1
Staten Island,2026-07-23,3,2026-07-20,94.7,76.5,77.5,46.9,102.4,100-104,3,major,-0.8,-1.7,0
Staten Island,2026-07-24,3,2026-07-21,90.5,77.8,71.9,50.5,95.6,95-99,2,moderate,-4.0,-7.0,-1
Staten Island,2026-07-25,3,2026-07-22,87.0,68.2,59.2,55.1,91.2,<95,1,minor,-1.4,-1.6,0
Staten Island,2026-07-26,3,2026-07-23,87.3,67.1,65.1,38.6,86.7,<95,0,little_to_no_risk,7.8,7.6,0
Staten Island,2026-07-20,4,2026-07-16,92.2,69.7,71.7,46.1,97.0,95-99,2,moderate,4.8,7.9,2
