borough,datetime_local,temp_f,dewpoint_f,rh_pct,heat_index_f
Manhattan,2026-07-21T02:00:00-04:00,77.2,65.8,67.8,77.8
Manhattan,2026-07-21T03:00:00-04:00,76.1,65.9,70.5,76.8
Manhattan,2026-07-21T04:00:00-04:00,75.4,66.0,72.6,76.1
Manhattan,2026-07-21T05:00:00-04:00,75.0,66.1,73.8,75.7
Manhattan,2026-07-21T06:00:00-04:00,75.1,66.2,74.0,75.8
Manhattan,2026-07-21T07:00:00-04:00,76.0,66.4,72.2,76.7
Manhattan,2026-07-21T08:00:00-04:00,77.6,66.5,68.6,78.3
Manhattan,2026-07-21T09:00:00-04:00,79.9,66.6,63.9,82.1
Manhattan,2026-07-21T10:00:00-04:00,82.6,66.8,58.9,85.1
Manhattan,2026-07-21T11:00:00-04:00,85.4,66.9,54.0,88.1
Manhattan,2026-07-21T12:00:00-04:00,88.1,67.0,49.8,91.1
Manhattan,2026-07-21T13:00:00-04:00,90.4,67.1,46.5,93.7
Manhattan,2026-07-21T14:00:00-04:00,92.0,67.2,44.3,95.7
Manhattan,2026-07-21T15:00:00-04:00,92.9,67.2,43.2,96.7
Manhattan,2026-07-21T16:00:00-04:00,92.9,67.3,43.3,96.9
Manhattan,2026-07-21T17:00:00-04:00,92.6,67.4,43.9,96.5
Manhattan,2026-07-21T18:00:00-04:00,91.8,67.5,45.1,95.6
Manhattan,2026-07-21T19:00:00-04:00,90.7,67.6,46.9,94.4
Manhattan,2026-07-21T20:00:00-04:00,89.3,67.7,49.1,92.9
Manhattan,2026-07-21T21:00:00-04:00,87.6,67.8,51.8,91.1
Manhattan,2026-07-21T22:00:00-04:00,85.9,67.8,54.9,89.2
Manhattan,2026-07-21T23:00:00-04:00,84.1,67.9,58.4,87.3
Manhattan,2026-07-22T00:00:00-04:00,82.4,68.0,61.9,85.3
Manhattan,2026-07-22T01:00:00-04:00,80.7,68.1,65.4,83.5
Manhattan,2026-07-22T02:00:00-04:00,79.3,68.2,68.7,80.2
Manhattan,2026-07-22T03:00:00-04:00,78.2,68.2,71.5,79.1
Manhattan,2026-07-22T04:00:00-04:00,77.4,68.3,73.6,78.4
Manhattan,2026-07-22T05:00:00-04:00,77.1,68.4,74.7,78.0
Manhattan,2026-07-22T06:00:00-04:00,77.1,68.5,74.8,78.0
Manhattan,2026-07-22T07:00:00-04:00,78.0,68.6,72.9,78.9
Manhattan,2026-07-22T08:00:00-04:00,79.6,68.7,69.2,82.3
Manhattan,2026-07-22T09:00:00-04:00,81.9,68.8,64.5,85.1
Manhattan,2026-07-22T10:00:00-04:00,84.6,68.8,59.3,88.3
Manhattan,2026-07-22T11:00:00-04:00,87.4,68.9,54.3,91.6
Manhattan,2026-07-22T12:00:00-04:00,90.1,69.0,50.1,94.8
Manhattan,2026-07-22T13:00:00-04:00,92.4,69.1,46.8,97.6
Manhattan,2026-07-22T14:00:00-04:00,94.0,69.2,44.7,99.7
Manhattan,2026-07-22T15:00:00-04:00,94.9,69.4,43.7,100.9
Manhattan,2026-07-22T16:00:00-04:00,95.0,69.5,43.8,101.1
Manhattan,2026-07-22T17:00:00-04:00,94.6,69.6,44.5,100.7
Manhattan,2026-07-22T18:00:00-04:00,93.9,69.8,45.7,99.9
Manhattan,2026-07-22T19:00:00-04:00,92.8,69.9,47.4,98.8
Manhattan,2026-07-22T20:00:00-04:00,91.5,70.0,49.6,97.3
Manhattan,2026-07-22T21:00:00-04:00,90.0,70.1,52.2,95.6
Manhattan,2026-07-22T22:00:00-04:00,88.3,70.2,55.2,93.7
Manhattan,2026-07-22T23:00:00-04:00,86.7,70.4,58.5,91.8
Manhattan,2026-07-23T00:00:00-04:00,85.0,70.5,61.9,89.9
Manhattan,2026-07-23T01:00:00-04:00,83.5,70.6,65.3,88.1
Manhattan,2026-07-23T02:00:00-04:00,82.2,70.8,68.4,86.4
Manhattan,2026-07-23T03:00:00-04:00,81.1,70.9,71.1,85.1
Manhattan,2026-07-23T04:00:00-04:00,80.4,71.0,73.1,84.1
Manhattan,2026-07-23T05:00:00-04:00,80.0,71.1,74.3,83.6
Manhattan,2026-07-23T06:00:00-04:00,80.1,71.2,74.4,83.7
Manhattan,2026-07-23T07:00:00-04:00,81.0,71.4,72.7,85.0
Manhattan,2026-07-23T08:00:00-04:00,82.6,71.5,69.2,87.5
Manhattan,2026-07-23T09:00:00-04:00,84.9,71.6,64.5,90.6
Manhattan,2026-07-23T10:00:00-04:00,87.6,71.8,59.5,94.1
Manhattan,2026-07-23T11:00:00-04:00,90.4,71.9,54.7,97.7
Manhattan,2026-07-23T12:00:00-04:00,93.1,72.0,50.5,101.2
Manhattan,2026-07-23T13:00:00-04:00,95.4,72.0,47.1,104.0
Manhattan,2026-07-23T14:00:00-04:00,97.0,72.0,44.8,106.1
Manhattan,2026-07-23T15:00:00-04:00,97.9,72.0,43.6,107.3
Manhattan,2026-07-23T16:00:00-04:00,97.9,72.0,43.5,107.3
Manhattan,2026-07-23T17:00:00-04:00,97.5,72.0,44.1,106.8
Manhattan,2026-07-23T18:00:00-04:00,96.7,72.0,45.2,105.7
Manhattan,2026-07-23T19:00:00-04:00,95.5,72.0,46.9,104.2
Manhattan,2026-07-23T20:00:00-04:00,94.0,72.0,49.1,102.3
Manhattan,2026-07-23T21:00:00-04:00,92.3,72.0,51.7,100.2
Manhattan,2026-07-23T22:00:00-04:00,90.5,72.0,54.8,97.9
Manhattan,2026-07-23T23:00:00-04:00,88.5,72.0,58.2,95.5
Manhattan,2026-07-24T00:00:00-04:00,86.7,72.0,61.7,93.1
Manhattan,2026-07-24T01:00:00-04:00,85.0,72.0,65.2,90.9
Manhattan,2026-07-24T02:00:00-04:00,83.5,72.0,68.4,88.9
Manhattan,2026-07-24T03:00:00-04:00,82.3,72.0,71.1,87.3
Manhattan,2026-07-24T04:00:00-04:00,81.5,72.0,73.0,86.1
Manhattan,2026-07-24T05:00:00-04:00,81.1,72.0,74.0,85.4
Manhattan,2026-07-24T06:00:00-04:00,81.1,72.0,73.9,85.5
Manhattan,2026-07-24T07:00:00-04:00,81.9,72.0,72.1,86.6
Manhattan,2026-07-24T08:00:00-04:00,83.3,72.0,68.7,88.7
Manhattan,2026-07-24T09:00:00-04:00,85.4,72.0,64.4,91.4
Manhattan,2026-07-24T10:00:00-04:00,87.7,72.0,59.7,94.5
Manhattan,2026-07-24T11:00:00-04:00,90.3,72.0,55.2,97.6
Manhattan,2026-07-24T12:00:00-04:00,92.6,72.0,51.2,100.6
Manhattan,2026-07-24T13:00:00-04:00,94.7,72.0,48.0,103.1
Manhattan,2026-07-24T14:00:00-04:00,96.1,71.9,45.9,104.9
Manhattan,2026-07-24T15:00:00-04:00,96.9,71.9,44.7,105.9
Manhattan,2026-07-24T16:00:00-04:00,96.9,71.8,44.6,105.8
Manhattan,2026-07-24T17:00:00-04:00,96.4,71.8,45.3,105.1
Manhattan,2026-07-24T18:00:00-04:00,95.3,71.8,46.8,103.7
Manhattan,2026-07-24T19:00:00-04:00,93.8,71.7,49.0,101.7
Manhattan,2026-07-24T20:00:00-04:00,91.9,71.7,51.9,99.3
Manhattan,2026-07-24T21:00:00-04:00,89.6,71.6,55.6,96.5
Manhattan,2026-07-24T22:00:00-04:00,87.2,71.6,59.9,93.5
Manhattan,2026-07-24T23:00:00-04:00,84.8,71.5,64.7,90.3
Manhattan,2026-07-25T00:00:00-04:00,82.4,71.5,69.8,87.1
Manhattan,2026-07-25T01:00:00-04:00,80.1,71.5,74.9,83.8
Manhattan,2026-07-25T02:00:00-04:00,78.2,71.4,79.7,79.5
Manhattan,2026-07-25T03:00:00-04:00,76.7,71.4,83.7,78.0
Manhattan,2026-07-25T04:00:00-04:00,75.6,71.3,86.6,76.9
Manhattan,2026-07-25T05:00:00-04:00,75.1,71.3,88.1,76.4
Manhattan,2026-07-25T06:00:00-04:00,75.1,71.2,87.9,76.4
Manhattan,2026-07-25T07:00:00-04:00,75.9,71.2,85.5,77.2
Manhattan,2026-07-25T08:00:00-04:00,77.3,71.2,81.3,78.6
Manhattan,2026-07-25T09:00:00-04:00,79.4,71.1,76.0,80.6
Manhattan,2026-07-25T10:00:00-04:00,81.7,71.1,70.2,86.0
Manhattan,2026-07-25T11:00:00-04:00,84.3,71.0,64.6,89.3
Manhattan,2026-07-25T12:00:00-04:00,86.6,71.0,59.8,92.3
Manhattan,2026-07-25T13:00:00-04:00,88.7,70.3,54.8,94.2
Manhattan,2026-07-25T14:00:00-04:00,90.1,69.7,51.2,95.4
Manhattan,2026-07-25T15:00:00-04:00,90.9,69.0,48.8,95.8
Manhattan,2026-07-25T16:00:00-04:00,90.9,68.3,47.7,95.3
Manhattan,2026-07-25T17:00:00-04:00,90.3,67.7,47.5,94.0
Manhattan,2026-07-25T18:00:00-04:00,89.1,67.0,48.3,92.2
Manhattan,2026-07-25T19:00:00-04:00,87.3,66.3,49.8,89.9
Manhattan,2026-07-25T20:00:00-04:00,85.2,65.7,52.2,87.2
Manhattan,2026-07-25T21:00:00-04:00,82.6,65.0,55.3,84.4
Manhattan,2026-07-25T22:00:00-04:00,79.9,64.3,59.1,81.6
Manhattan,2026-07-25T23:00:00-04:00,77.1,63.7,63.3,77.5
Manhattan,2026-07-26T00:00:00-04:00,74.4,63.0,67.7,74.7
Manhattan,2026-07-26T01:00:00-04:00,71.8,62.3,72.0,72.1
Manhattan,2026-07-26T02:00:00-04:00,69.7,61.7,75.8,69.9
Manhattan,2026-07-26T03:00:00-04:00,67.9,61.0,78.5,68.1
Manhattan,2026-07-26T04:00:00-04:00,66.7,60.3,80.0,66.8
Manhattan,2026-07-26T05:00:00-04:00,66.1,59.7,79.8,66.1
Manhattan,2026-07-26T06:00:00-04:00,66.1,59.0,77.9,66.1
Manhattan,2026-07-26T07:00:00-04:00,66.9,58.3,74.0,66.7
Manhattan,2026-07-26T08:00:00-04:00,68.3,57.7,68.7,68.1
Manhattan,2026-07-26T09:00:00-04:00,70.4,57.0,62.6,70.0
Manhattan,2026-07-26T10:00:00-04:00,72.7,56.3,56.4,72.4
Manhattan,2026-07-26T11:00:00-04:00,75.3,55.7,50.6,74.9
Manhattan,2026-07-26T12:00:00-04:00,77.6,55.0,45.6,77.2
Manhattan,2026-07-26T13:00:00-04:00,79.7,55.0,42.7,79.3
Manhattan,2026-07-26T14:00:00-04:00,81.1,55.0,40.7,80.8
Manhattan,2026-07-26T15:00:00-04:00,81.9,55.0,39.7,81.3
Manhattan,2026-07-26T16:00:00-04:00,81.9,55.0,39.6,81.4
Manhattan,2026-07-26T17:00:00-04:00,81.5,55.0,40.2,81.1
Manhattan,2026-07-26T18:00:00-04:00,80.6,55.0,41.4,80.5
Manhattan,2026-07-26T19:00:00-04:00,79.4,55.0,43.1,79.0
Manhattan,2026-07-26T20:00:00-04:00,77.8,55.0,45.4,77.4
Manhattan,2026-07-26T21:00:00-04:00,76.0,55.0,48.2,75.5
Manhattan,2026-07-26T22:00:00-04:00,74.0,55.0,51.5,73.5
Manhattan,2026-07-26T23:00:00-04:00,72.0,55.0,55.1,71.5
Bronx,2026-07-20T00:00:00-04:00,77.9,64.0,62.4,78.3
Bronx,2026-07-20T01:00:00-04:00,76.2,64.0,65.9,76.7
Bronx,2026-07-20T02:00:00-04:00,74.8,64.0,69.0,75.3
Bronx,2026-07-20T03:00:00-04:00,73.7,64.0,71.7,74.2
Bronx,2026-07-20T04:00:00-04:00,72.9,64.0,73.5,73.4
Bronx,2026-07-20T05:00:00-04:00,72.6,64.0,74.5,73.0
Bronx,2026-07-20T06:00:00-04:00,72.6,64.0,74.4,73.1
Bronx,2026-07-20T07:00:00-04:00,73.4,64.0,72.4,73.9
Bronx,2026-07-20T08:00:00-04:00,75.0,64.0,68.7,75.4
Bronx,2026-07-20T09:00:00-04:00,77.1,64.0,63.9,77.6
Bronx,2026-07-20T10:00:00-04:00,79.7,64.0,58.8,80.1
Bronx,2026-07-20T11:00:00-04:00,82.3,64.0,53.9,83.8
Bronx,2026-07-20T12:00:00-04:00,84.9,64.0,49.7,86.2
Bronx,2026-07-20T13:00:00-04:00,87.0,64.1,46.6,88.4
Bronx,2026-07-20T14:00:00-04:00,88.6,64.2,44.6,90.1
Bronx,2026-07-20T15:00:00-04:00,89.4,64.4,43.6,91.0
Bronx,2026-07-20T16:00:00-04:00,89.5,64.5,43.7,91.1
Bronx,2026-07-20T17:00:00-04:00,89.1,64.6,44.4,90.8
Bronx,2026-07-20T18:00:00-04:00,88.4,64.8,45.7,90.1
Bronx,2026-07-20T19:00:00-04:00,87.3,64.9,47.4,89.1
Bronx,2026-07-20T20:00:00-04:00,86.0,65.0,49.7,87.8
Bronx,2026-07-20T21:00:00-04:00,84.5,65.1,52.4,86.3
Bronx,2026-07-20T22:00:00-04:00,82.8,65.2,55.4,84.7
Bronx,2026-07-20T23:00:00-04:00,81.2,65.4,58.8,83.1
Bronx,2026-07-21T00:00:00-04:00,79.5,65.5,62.3,80.1
Bronx,2026-07-21T01:00:00-04:00,78.0,65.6,65.8,78.6
Bronx,2026-07-21T02:00:00-04:00,76.7,65.8,69.0,77.3
Bronx,2026-07-21T03:00:00-04:00,75.6,65.9,71.7,76.3
Bronx,2026-07-21T04:00:00-04:00,74.9,66.0,73.8,75.6
Bronx,2026-07-21T05:00:00-04:00,74.5,66.1,75.1,75.2
Bronx,2026-07-21T06:00:00-04:00,74.6,66.2,75.2,75.3
Bronx,2026-07-21T07:00:00-04:00,75.5,66.4,73.4,76.2
Bronx,2026-07-21T08:00:00-04:00,77.1,66.5,69.8,77.8
Bronx,2026-07-21T09:00:00-04:00,79.4,66.6,65.0,80.1
Bronx,2026-07-21T10:00:00-04:00,82.1,66.8,59.8,84.5
Bronx,2026-07-21T11:00:00-04:00,84.9,66.9,54.9,87.6
Bronx,2026-07-21T12:00:00-04:00,87.6,67.0,50.6,90.6
Bronx,2026-07-21T13:00:00-04:00,89.9,67.1,47.2,93.2
Bronx,2026-07-21T14:00:00-04:00,91.5,67.2,45.0,95.1
Bronx,2026-07-21T15:00:00-04:00,92.4,67.2,43.9,96.2
Bronx,2026-07-21T16:00:00-04:00,92.4,67.3,43.9,96.3
Bronx,2026-07-21T17:00:00-04:00,92.1,67.4,44.6,95.9
Bronx,2026-07-21T18:00:00-04:00,91.3,67.5,45.8,95.1
Bronx,2026-07-21T19:00:00-04:00,90.2,67.6,47.6,93.8
Bronx,2026-07-21T20:00:00-04:00,88.8,67.7,49.9,92.3
Bronx,2026-07-21T21:00:00-04:00,87.1,67.8,52.7,90.5
Bronx,2026-07-21T22:00:00-04:00,85.4,67.8,55.8,88.7
Bronx,2026-07-21T23:00:00-04:00,83.6,67.9,59.3,86.7
Bronx,2026-07-22T00:00:00-04:00,81.9,68.0,62.9,84.8
Bronx,2026-07-22T01:00:00-04:00,80.2,68.1,66.5,82.9
Bronx,2026-07-22T02:00:00-04:00,78.8,68.2,69.8,79.7
Bronx,2026-07-22T03:00:00-04:00,77.7,68.2,72.7,78.6
Bronx,2026-07-22T04:00:00-04:00,76.9,68.3,74.8,77.9
Bronx,2026-07-22T05:00:00-04:00,76.6,68.4,76.0,77.5
Bronx,2026-07-22T06:00:00-04:00,76.6,68.5,76.1,77.5
Bronx,2026-07-22T07:00:00-04:00,77.5,68.6,74.1,78.4
Bronx,2026-07-22T08:00:00-04:00,79.1,68.7,70.4,80.1
Bronx,2026-07-22T09:00:00-04:00,81.4,68.8,65.5,84.5
Bronx,2026-07-22T10:00:00-04:00,84.1,68.8,60.2,87.7
Bronx,2026-07-22T11:00:00-04:00,86.9,68.9,55.2,91.0
Bronx,2026-07-22T12:00:00-04:00,89.6,69.0,50.9,94.2
Bronx,2026-07-22T13:00:00-04:00,91.9,69.1,47.6,97.0
Bronx,2026-07-22T14:00:00-04:00,93.5,69.2,45.4,99.1
Bronx,2026-07-22T15:00:00-04:00,94.4,69.4,44.4,100.3
Bronx,2026-07-22T16:00:00-04:00,94.5,69.5,44.5,100.4
Bronx,2026-07-22T17:00:00-04:00,94.1,69.6,45.2,100.1
Bronx,2026-07-22T18:00:00-04:00,93.4,69.8,46.4,99.3
Bronx,2026-07-22T19:00:00-04:00,92.3,69.9,48.1,98.2
Bronx,2026-07-22T20:00:00-04:00,91.0,70.0,50.4,96.7
Bronx,2026-07-22T21:00:00-04:00,89.5,70.1,53.1,95.0
Bronx,2026-07-22T22:00:00-04:00,87.8,70.2,56.1,93.1
Bronx,2026-07-22T23:00:00-04:00,86.2,70.4,59.4,91.2
Bronx,2026-07-23T00:00:00-04:00,84.5,70.5,62.9,89.3
Bronx,2026-07-23T01:00:00-04:00,83.0,70.6,66.3,87.4
Bronx,2026-07-23T02:00:00-04:00,81.7,70.8,69.5,85.8
Bronx,2026-07-23T03:00:00-04:00,80.6,70.9,72.2,84.4
Bronx,2026-07-23T04:00:00-04:00,79.9,71.0,74.3,83.3
Bronx,2026-07-23T05:00:00-04:00,79.5,71.1,75.5,82.8
Bronx,2026-07-23T06:00:00-04:00,79.6,71.2,75.7,82.9
Bronx,2026-07-23T07:00:00-04:00,80.5,71.4,73.9,84.3
Bronx,2026-07-23T08:00:00-04:00,82.1,71.5,70.3,86.8
Bronx,2026-07-23T09:00:00-04:00,84.4,71.6,65.6,89.9
Bronx,2026-07-23T10:00:00-04:00,87.1,71.8,60.5,93.4
Bronx,2026-07-23T11:00:00-04:00,89.9,71.9,55.5,97.1
Bronx,2026-07-23T12:00:00-04:00,92.6,72.0,51.3,100.5
Bronx,2026-07-23T13:00:00-04:00,94.9,72.0,47.8,103.4
Bronx,2026-07-23T14:00:00-04:00,96.5,72.0,45.4,105.5
Bronx,2026-07-23T15:00:00-04:00,97.4,72.0,44.2,106.6
Bronx,2026-07-23T16:00:00-04:00,97.4,72.0,44.2,106.7
Bronx,2026-07-23T17:00:00-04:00,97.0,72.0,44.7,106.1
Bronx,2026-07-23T18:00:00-04:00,96.2,72.0,45.9,105.1
Bronx,2026-07-23T19:00:00-04:00,95.0,72.0,47.6,103.6
Bronx,2026-07-23T20:00:00-04:00,93.5,72.0,49.8,101.7
Bronx,2026-07-23T21:00:00-04:00,91.8,72.0,52.6,99.6
Bronx,2026-07-23T22:00:00-04:00,90.0,72.0,55.7,97.2
Bronx,2026-07-23T23:00:00-04:00,88.0,72.0,59.1,94.9
Bronx,2026-07-24T00:00:00-04:00,86.2,72.0,62.7,92.5
Bronx,2026-07-24T01:00:00-04:00,84.5,72.0,66.3,90.3
Bronx,2026-07-24T02:00:00-04:00,83.0,72.0,69.5,88.2
Bronx,2026-07-24T03:00:00-04:00,81.8,72.0,72.3,86.5
Bronx,2026-07-24T04:00:00-04:00,81.0,72.0,74.2,85.3
Bronx,2026-07-24T05:00:00-04:00,80.6,72.0,75.3,84.7
Bronx,2026-07-24T06:00:00-04:00,80.6,72.0,75.2,84.7
Bronx,2026-07-24T07:00:00-04:00,81.4,72.0,73.3,85.9
Bronx,2026-07-24T08:00:00-04:00,82.8,72.0,69.9,88.0
Bronx,2026-07-24T09:00:00-04:00,84.9,72.0,65.5,90.8
Bronx,2026-07-24T10:00:00-04:00,87.2,72.0,60.7,93.9
Bronx,2026-07-24T11:00:00-04:00,89.8,72.0,56.1,97.0
Bronx,2026-07-24T12:00:00-04:00,92.1,72.0,52.0,100.0
Bronx,2026-07-24T13:00:00-04:00,94.2,72.0,48.8,102.5
Bronx,2026-07-24T14:00:00-04:00,95.6,71.9,46.6,104.3
Bronx,2026-07-24T15:00:00-04:00,96.4,71.9,45.4,105.2
Bronx,2026-07-24T16:00:00-04:00,96.4,71.8,45.3,105.2
Bronx,2026-07-24T17:00:00-04:00,95.9,71.8,46.0,104.5
Bronx,2026-07-24T18:00:00-04:00,94.8,71.8,47.5,103.1
Bronx,2026-07-24T19:00:00-04:00,93.3,71.7,49.7,101.1
Bronx,2026-07-24T20:00:00-04:00,91.4,71.7,52.7,98.7
Bronx,2026-07-24T21:00:00-04:00,89.1,71.6,56.4,95.9
Bronx,2026-07-24T22:00:00-04:00,86.7,71.6,60.8,92.8
Bronx,2026-07-24T23:00:00-04:00,84.3,71.5,65.7,89.7
Bronx,2026-07-25T00:00:00-04:00,81.9,71.5,70.9,86.4
Bronx,2026-07-25T01:00:00-04:00,79.6,71.5,76.1,83.1
Bronx,2026-07-25T02:00:00-04:00,77.7,71.4,81.0,79.0
Bronx,2026-07-25T03:00:00-04:00,76.2,71.4,85.1,77.5
Bronx,2026-07-25T04:00:00-04:00,75.1,71.3,88.0,76.5
Bronx,2026-07-25T05:00:00-04:00,74.6,71.3,89.5,75.9
Bronx,2026-07-25T06:00:00-04:00,74.6,71.2,89.3,76.0
Bronx,2026-07-25T07:00:00-04:00,75.4,71.2,86.9,76.7
Bronx,2026-07-25T08:00:00-04:00,76.8,71.2,82.7,78.1
Bronx,2026-07-25T09:00:00-04:00,78.9,71.1,77.2,80.1
Bronx,2026-07-25T10:00:00-04:00,81.2,71.1,71.3,85.3
Bronx,2026-07-25T11:00:00-04:00,83.8,71.0,65.7,88.7
Bronx,2026-07-25T12:00:00-04:00,86.1,71.0,60.8,91.6
Bronx,2026-07-25T13:00:00-04:00,88.2,70.3,55.7,93.6
Bronx,2026-07-25T14:00:00-04:00,89.6,69.7,52.0,94.8
Bronx,2026-07-25T15:00:00-04:00,90.4,69.0,49.6,95.2
Bronx,2026-07-25T16:00:00-04:00,90.4,68.3,48.4,94.7
Bronx,2026-07-25T17:00:00-04:00,89.8,67.7,48.3,93.5
Bronx,2026-07-25T18:00:00-04:00,88.6,67.0,49.0,91.7
Bronx,2026-07-25T19:00:00-04:00,86.8,66.3,50.6,89.4
Bronx,2026-07-25T20:00:00-04:00,84.7,65.7,53.1,86.7
Bronx,2026-07-25T21:00:00-04:00,82.1,65.0,56.2,83.9
Bronx,2026-07-25T22:00:00-04:00,79.4,64.3,60.1,79.9
Bronx,2026-07-25T23:00:00-04:00,76.6,63.7,64.3,77.0
Bronx,2026-07-26T00:00:00-04:00,73.9,63.0,68.8,74.2
Bronx,2026-07-26T01:00:00-04:00,71.3,62.3,73.2,71.6
Bronx,2026-07-26T02:00:00-04:00,69.2,61.7,77.1,69.4
Bronx,2026-07-26T03:00:00-04:00,67.4,61.0,79.9,67.6
Bronx,2026-07-26T04:00:00-04:00,66.2,60.3,81.4,66.3
Bronx,2026-07-26T05:00:00-04:00,65.6,59.7,81.2,65.7
Bronx,2026-07-26T06:00:00-04:00,65.6,59.0,79.3,65.6
Bronx,2026-07-26T07:00:00-04:00,66.4,58.3,75.3,66.2
Bronx,2026-07-26T08:00:00-04:00,67.8,57.7,69.9,67.6
Bronx,2026-07-26T09:00:00-04:00,69.9,57.0,63.7,69.5
Bronx,2026-07-26T10:00:00-04:00,72.2,56.3,57.3,71.9
Bronx,2026-07-26T11:00:00-04:00,74.8,55.7,51.5,74.3
Bronx,2026-07-26T12:00:00-04:00,77.1,55.0,46.4,76.7
Bronx,2026-07-26T13:00:00-04:00,79.2,55.0,43.4,78.8
Bronx,2026-07-26T14:00:00-04:00,80.6,55.0,41.4,80.5
Bronx,2026-07-26T15:00:00-04:00,81.4,55.0,40.3,81.0
Bronx,2026-07-26T16:00:00-04:00,81.4,55.0,40.3,81.0
Bronx,2026-07-26T17:00:00-04:00,81.0,55.0,40.9,80.7
Bronx,2026-07-26T18:00:00-04:00,80.1,55.0,42.1,79.8
Bronx,2026-07-26T19:00:00-04:00,78.9,55.0,43.8,78.5
Bronx,2026-07-26T20:00:00-04:00,77.3,55.0,46.2,76.9
Bronx,2026-07-26T21:00:00-04:00,75.5,55.0,49.0,75.0
Bronx,2026-07-26T22:00:00-04:00,73.5,55.0,52.4,73.0
Bronx,2026-07-26T23:00:00-04:00,71.5,55.0,56.0,71.0
Brooklyn,2026-07-20T00:00:00-04:00,77.9,64.0,62.4,78.3
Brooklyn,2026-07-20T01:00:00-04:00,76.2,64.0,65.9,76.7
Brooklyn,2026-07-20T02:00:00-04:00,74.8,64.0,69.0,75.3
Brooklyn,2026-07-20T03:00:00-04:00,73.7,64.0,71.7,74.2
Brooklyn,2026-07-20T04:00:00-04:00,72.9,64.0,73.5,73.4
Brooklyn,2026-07-20T05:00:00-04:00,72.6,64.0,74.5,73.0
Brooklyn,2026-07-20T06:00:00-04:00,72.6,64.0,74.4,73.1
Brooklyn,2026-07-20T07:00:00-04:00,73.4,64.0,72.4,73.9
Brooklyn,2026-07-20T08:00:00-04:00,75.0,64.0,68.7,75.4
Brooklyn,2026-07-20T09:00:00-04:00,77.1,64.0,63.9,77.6
Brooklyn,2026-07-20T10:00:00-04:00,79.7,64.0,58.8,80.1
Brooklyn,2026-07-20T11:00:00-04:00,82.3,64.0,53.9,83.8
Brooklyn,2026-07-20T12:00:00-04:00,84.9,64.0,49.7,86.2
Brooklyn,2026-07-20T13:00:00-04:00,87.0,64.1,46.6,88.4
Brooklyn,2026-07-20T14:00:00-04:00,88.6,64.2,44.6,90.1
Brooklyn,2026-07-20T15:00:00-04:00,89.4,64.4,43.6,91.0
Brooklyn,2026-07-20T16:00:00-04:00,89.5,64.5,43.7,91.1
Brooklyn,2026-07-20T17:00:00-04:00,89.1,64.6,44.4,90.8
Brooklyn,2026-07-20T18:00:00-04:00,88.4,64.8,45.7,90.1
Brooklyn,2026-07-20T19:00:00-04:00,87.3,64.9,47.4,89.1
Brooklyn,2026-07-20T20:00:00-04:00,86.0,65.0,49.7,87.8
Brooklyn,2026-07-20T21:00:00-04:00,84.5,65.1,52.4,86.3
Brooklyn,2026-07-20T22:00:00-04:00,82.8,65.2,55.4,84.7
Brooklyn,2026-07-20T23:00:00-04:00,81.2,65.4,58.8,83.1
